Player Name	Nationality	Position	FC 26 Prime OVR	Level 1 (Base)	Level 2 (Mid)	Level 3 (Prime)	Level 4 (Ultimate)	Famous Club
Omar Sívori	Argentina	CF	91	87	89	91	94	Juventus
Telmo Zarra	Spain	ST	91	87	89	91	94	Athletic Bilbao
Dixie Dean	England	ST	91	87	89	91	94	Everton
Tom Finney	England	LW	91	87	89	91	94	Preston North End
Matthias Sindelar	Austria	CF	91	87	89	91	94	Austria Wien
Zizinho	Brazil	CAM	91	87	89	91	94	Flamengo
Ademir Marques	Brazil	ST	91	87	89	91	94	Vasco da Gama
Obdulio Varela	Uruguay	CDM	91	87	89	91	94	Peñarol
Adolfo Pedernera	Argentina	CF	91	87	89	91	94	River Plate
Ángel Labruna	Argentina	ST	91	87	89	91	94	River Plate
Amadeo Carrizo	Argentina	GK	91	87	89	91	94	River Plate
Fritz Walter	Germany	CAM	91	87	89	91	94	Kaiserslautern
Uwe Seeler	Germany	ST	91	87	89	91	94	Hamburger SV
Sepp Maier	Germany	GK	91	87	89	91	94	Bayern Munich
Paul Breitner	Germany	CM	91	87	89	91	94	Bayern Munich
Johan Neeskens	Netherlands	CM	91	87	89	91	94	Ajax
Nils Liedholm	Sweden	CM	91	87	89	91	94	AC Milan
Gunnar Nordahl	Sweden	ST	91	87	89	91	94	AC Milan
Leonidas	Brazil	ST	91	87	89	91	94	Flamengo
Arthur Friedenreich	Brazil	ST	91	87	89	91	94	Paulistano
Gilmar	Brazil	GK	90	86	88	90	93	Santos
Vavá	Brazil	ST	90	86	88	90	93	Vasco da Gama
József Bozsik	Hungary	CM	90	86	88	90	93	Budapest Honvéd
Ladislao Kubala	Spain	ST	90	86	88	90	93	Barcelona
Alcides Ghiggia	Uruguay	RW	90	86	88	90	93	Peñarol
José Nasazzi	Uruguay	CB	90	86	88	90	93	Nacional
Héctor Scarone	Uruguay	AM	90	86	88	90	93	Nacional
Guillermo Stábile	Argentina	ST	90	86	88	90	93	Huracán
René Houseman	Argentina	RW	90	86	88	90	93	Huracán
Vladimir Beara	Yugoslavia	GK	90	86	88	90	93	Hajduk Split
Rob Rensenbrink	Netherlands	LW	90	86	88	90	93	Anderlecht
Faas Wilkes	Netherlands	ST	90	86	88	90	93	Internazionale
Gunnar Gren	Sweden	CAM	90	86	88	90	93	AC Milan
Teófilo Cubillas	Peru	CAM	90	86	88	90	93	Alianza Lima
Alberto Spencer	Ecuador	ST	90	86	88	90	93	Peñarol
Gianluca Vialli	Italy	ST	89	85	87	89	92	Juventus
Billy Wright	England	CB	89	85	87	89	92	Wolverhampton
Gyula Grosics	Hungary	GK	89	85	87	89	92	Budapest Honvéd
Andreas Brehme	Germany	LB	89	85	87	89	92	Inter Milan
Helmut Rahn	Germany	RW	89	85	87	89	92	Rot-Weiss Essen
Kazimierz Deyna	Poland	CAM	89	85	87	89	92	Legia Warsaw
Valeriy Voronin	Soviet Union	CDM	89	85	87	89	92	Torpedo Moscow
Mario Zagallo	Brazil	LW	89	85	87	89	92	Botafogo
Siniša Mihajlović	Serbia	CB	88	84	86	88	91	Lazio
Bellini	Brazil	CB	88	84	86	88	91	Vasco da Gama
Danny Blanchflower	Northern Ireland	CM	88	84	86	88	91	Tottenham Hotspur
Ernst Happel	Austria	CB	88	84	86	88	91	Rapid Wien
Antonio Rattín	Argentina	CDM	88	84	86	88	91	Boca Juniors
Leopoldo Luque	Argentina	ST	88	84	86	88	91	River Plate
Ladislao Mazurkiewicz	Uruguay	GK	88	84	86	88	91	Peñarol
Karl-Heinz Schnellinger	Germany	CB	88	84	86	88	91	AC Milan
Coen Moulijn	Netherlands	LW	88	84	86	88	91	Feyenoord
Kurt Hamrin	Sweden	RW	88	84	86	88	91	Fiorentina
José Luis Brown	Argentina	CB	87	83	85	87	90	Estudiantes
Andrés Escobar	Colombia	CB	87	83	85	87	90	Atletico Nacional
